"ID HEX"	"name"	"Group"	"Type"	"Note"
"0x0"	"UNIT002_02_01_01"	"Unit"	"Yumiton"	"Equipment : Bow"
"0x1"	"UNIT003_02_01_01"	"Unit"	"Tateton"	"Equipment : Sword, Shield"
"0x2"	"UNIT004_02_01_01"	"Unit"	"Yariton"	"Equipment : Spear"
"0x3"	"UNIT006_02_01_01"	"Unit"	"Kibaton"	"Equipment : Lance, Horse"
"0x4"	"UNIT007_02_01_01"	"Unit"	"Dekaton"	"Equipment : Club, Shoulderguard"
"0x5"	"UNIT008_02_01_01"	"Unit"	"Megaton"	"Equipment : Horn, Horn, Cape"
"0x6"	"UNIT003_02_02_01"	"Unit"	"Gong (with Sword)"	"Equipment : Sword"
"0x7"	"UNIT002_03_01_01"	"Unit"	"Yumimen"	"Equipment : Bow"
"0x8"	"UNIT003_03_01_01"	"Unit"	"Tatemen"	"Equipment : Sword, Shield"
"0x9"	"UNIT004_03_01_01"	"Unit"	"Yarimen"	"Equipment : Spear"
"0xA"	"UNIT006_03_01_01"	"Unit"	"Kibamen"	"Equipment : Lance, Horse"
"0xB"	"UNIT007_03_01_01"	"Unit"	"Dekamen"	"Equipment : Club, Shoulderguard, Shoulderguard"
"0xC"	"UNIT008_03_01_01"	"Unit"	"Megamen"	"Equipment : Horn, Horn, Cape"
"0xD"	"UNIT009_03_01_01"	"Unit"	"Mahomen"	"Equipment : Staff, Sandals, Sandals"
"0xE"	"UNIT010_03_01_01"	"Unit"	"Robomen"	"Equipment : Arm, Arm"
"0xF"	"UNIT002_04_01_01"	"Unit"	"AkumaYumi"	"Equipment : Helm, Bow"
"0x10"	"UNIT003_04_01_01"	"Unit"	"AkumaTate"	"Equipment : Sword, Shield"
"0x11"	"UNIT004_04_01_01"	"Unit"	"AkumaYari"	"Equipment : Spear"
"0x12"	"UNIT006_04_01_01"	"Unit"	"AkumaKiba"	"Equipment : Lance, Horse"
"0x13"	"UNIT007_04_01_01"	"Unit"	"AkumaDeka"	"Equipment : Club, Shoulderguard, Shoulderguard"
"0x14"	"UNIT008_04_01_01"	"Unit"	"AkumaMega"	"Equipment : Horn, Cape"
"0x15"	"UNIT002_05_01_01"	"Unit"	"Yumideth"	"Equipment : Tiny Bonedeth Mask, Bow"
"0x16"	"UNIT003_05_01_01"	"Unit"	"Tatedeth"	"Equipment : Cockroach-Deth Mask, Sword, Shield"
"0x17"	"UNIT004_05_01_01"	"Unit"	"Yarideth"	"Equipment : Cockroach-Deth++ Mask, Spear"
"0x18"	"UNIT006_05_01_01"	"Unit"	"Kibadeth"	"Equipment : Bulldeth Mask, Lance, Horse"
"0x19"	"UNIT007_05_01_01"	"Unit"	"Dekadeth"	"Equipment : Dekadeth Mask, Club, Shoulderguard, Shoulderguard"
