"ID"	"ID Hex"	"Name"	"Model Name"	"Holder"	"Desc"
0	"0x0"	"REGIO_UNIT220_0"		"Zaknel"	"Zaknel Part (Horn)"
1	"0x1"	"REGIO_UNIT221_0"		"Dokaknel"	"Dokaknel Part (Horn)"
2	"0x2"	"REGIO_UNIT215_0"		"Gaeen"	"Gaeen Part (Horn)"
3	"0x3"	"REGIO_UNIT215_1"		"Gaeen"	"Gaeen Part (Arms)"
4	"0x4"	"REGIO_UNIT215_2"		"Gaeen"	"Gaeen Part (Invalid, 0 stamina)"
5	"0x5"	"REGIO_UNIT216_0"		"Dogaeen"	"Dogaeen Part (Horn)"
6	"0x6"	"REGIO_UNIT216_1"		"Dogaeen"	"Dogaeen Part (Arms)"
7	"0x7"	"REGIO_UNIT216_2"		"Dogaeen"	"Dogaeen Part (Invalid, 0 stamina)"
8	"0x8"	"REGIO_UNIT211_0"		"Ciokina"	"Ciokina Part (Center Body)"
9	"0x9"	"REGIO_UNIT211_1"		"Ciokina"	"Ciokina Part (Left Leg)"
10	"0xA"	"REGIO_UNIT211_2"		"Ciokina"	"Ciokina Part (Left Scissors)"
11	"0xB"	"REGIO_UNIT211_3"		"Ciokina"	"Ciokina Part (Right Scissors)"
12	"0xC"	"REGIO_UNIT211_4"		"Ciokina"	"Ciokina Part (ALSO Right Scissors)"
13	"0xD"	"REGIO_UNIT211_5"		"Ciokina"	"Ciokina Part (ALSO Left Leg)"
14	"0xE"	"REGIO_UNIT211_6"		"Ciokina"	"Ciokina Part (Right Leg)"
15	"0xF"	"REGIO_UNIT212_0"		"Cioking"	"Cioking Part (Center Body)"
16	"0x10"	"REGIO_UNIT212_1"		"Cioking"	"Cioking Part (Left Leg)"
17	"0x11"	"REGIO_UNIT212_2"		"Cioking"	"Cioking Part (Left Scissors)"
18	"0x12"	"REGIO_UNIT212_3"		"Cioking"	"Cioking Part (Right Scissors)"
19	"0x13"	"REGIO_UNIT212_4"		"Cioking"	"Cioking Part (ALSO Right Scissors)"
20	"0x14"	"REGIO_UNIT212_5"		"Cioking"	"Cioking Part (ALSO Left Leg)"
